oe_workers,api_workers,throughput,total_duration_sec,min_latency,avg_latency,max_latency,success_rate,sc_min,sc_avg,sc_max,mq_min,mq_avg,mq_max,oe_min,oe_avg,oe_max,oe_internal_avg_ms,oe_internal_max_ms,deploy_min,deploy_avg,deploy_max,totals_min,totals_avg,totals_max,oe_cpu_avg,oe_cpu_max,oe_mem_avg_mib,oe_mem_max_mib,rabbitmq_cpu,orchestrator_cpu,catalog_cpu,topology_cpu,mq_p50,mq_p90,mq_p95,mq_p99,oe_int_p50,oe_int_p90,oe_int_p95,oe_int_p99
8,2,43.58055001,46.99344087,36.83638573,45.69194803,106.5428257,100,1.640081406,2.603679197,6.293058395,12.89510727,18.8917903,38.16270828,6.462335587,9.533083532,72.93224335,10.62298776,21.68297768,7.802009583,11.6681091,20.99943161,33.99062157,42.69666213,103.6410332,3.322666348,3.478075119,48.93652344,49.49609375,1.445294435,11.53684504,1.517475839,3.369365203,18.83471012,21.59435749,22.67045975,25.83349943,10.61189175,12.47298717,13.07374239,14.55253363
8,4,74.02371917,27.66680765,36.95774078,53.76534222,121.7873096,100,1.770019531,2.810150385,7.375955582,14.56356049,23.73165893,92.25130081,6.934404373,10.52894397,77.68893242,11.2600207,21.68297768,8.597135544,13.29721685,21.32296562,34.46912766,50.36797014,118.8747883,2.911507272,3.013484372,49.04785156,49.61328125,1.870849831,18.44236657,2.108494684,5.210886856,21.83485031,33.65619183,39.74848986,46.68510199,11.08419895,13.66434097,14.67535496,16.93739891
8,8,110.5128823,18.53177619,45.35055161,71.94969186,135.540247,100,1.907110214,3.431568388,9.461402893,17.73190498,33.63916976,95.97396851,7.834434509,12.52445835,30.96389771,12.83926863,37.0426178,9.584903717,18.06926331,41.03779793,42.64545441,67.66445981,127.7678013,2.617558299,2.749341656,48.93505859,49.59765625,1.785168844,28.28783921,2.80346093,6.826110818,29.28829193,51.62944794,60.70920229,75.83377361,11.79742813,18.15490723,20.21431923,24.27152634
8,16,121.8037712,16.81392932,70.86491585,130.4865619,318.215847,100,1.95145607,5.477051949,17.27342606,22.41873741,60.78936777,218.9617157,7.725477219,17.29754882,55.12809753,16.27797056,60.19091606,13.49854469,41.19300039,78.95302773,67.28243828,124.7569689,294.4231033,3.13379177,3.270830762,49.05322266,49.625,1.983399992,43.21116711,3.120900654,7.33754523,47.84834385,106.9615364,124.9350071,159.7564769,12.76445389,29.61628437,34.29437876,41.35936499
8,32,133.8911904,15.29600263,79.29897308,237.219425,692.7776337,100,2.069711685,6.627030438,28.04470062,32.32645988,142.9703281,555.1598072,7.19165802,21.06388635,59.81755257,20.94684809,76.59697533,11.53850555,57.29866738,108.6549759,73.00615311,227.9599123,663.7246609,3.239111365,3.358638066,49.08300781,49.71875,2.32994222,46.26665887,3.32351606,7.735327987,123.7434149,257.2777748,302.745831,398.2946396,14.45937157,42.70281792,48.6789465,57.97324419
16,1,22.34769092,91.64257765,38.92064095,44.56444317,79.6585083,100,1.85918808,2.587541472,5.777597427,13.57746124,18.25102721,52.02150345,6.368875504,9.270878509,17.54164696,10.64465835,22.1426487,8.031845093,11.50137931,19.28710938,36.27514839,41.61082651,74.16987419,2.75158768,3.303232941,49.1965332,49.453125,1.395355287,5.359317897,0.9914273897,2.220771049,18.25678349,20.62571049,21.51887417,24.47081089,10.71596146,12.42842674,13.04080486,14.98384953
16,2,42.26960323,48.45089245,35.63117981,47.1055744,117.5768375,100,1.833677292,2.683994477,8.956193924,13.38410378,19.35512421,49.40772057,6.530046463,9.896449745,78.93419266,10.92018955,22.1426487,8.005142212,12.06784847,18.30029488,33.31112862,44.0034169,114.3717766,2.453834854,2.744269477,49.23364258,49.51953125,1.324387414,11.07196284,1.654978409,3.351851286,19.35517788,22.18141556,23.77644777,27.58320332,10.94651222,12.85743713,13.56965303,15.39065838
16,4,72.52821837,28.23728538,42.37270355,54.89528424,118.2675362,100,1.717329025,2.901570522,7.82585144,14.73522186,24.1423368,64.40830231,6.761312485,10.84740472,75.90651512,11.58431525,30.5891037,8.378744125,13.54803797,25.77376366,39.57629204,51.43935001,115.3316498,2.160592576,2.463431573,49.22436523,49.57421875,1.6351462,20.19276692,1.998628957,5.147584796,22.31669426,33.02271366,39.07300234,47.98545837,11.42013073,14.10684586,15.17486572,17.31912613
16,8,108.8962167,18.80689764,47.00636864,73.04364664,171.697855,100,1.753091812,3.635623725,16.07251167,17.69042015,34.02485652,118.7579632,7.276535034,12.78217172,49.04961586,13.14028064,38.34295273,10.48612595,18.23696832,36.63468361,43.78080368,68.67962028,165.8103466,1.660902967,1.923043141,49.14306641,49.390625,1.914907217,27.07705813,2.672420449,6.859340163,29.81495857,51.83162689,60.94315052,76.74947262,12.16089725,18.25141907,20.599401,25.21338224
16,16,123.772278,16.54651618,72.77226448,128.3984996,349.6227264,100,2.07233429,5.675654043,21.19541168,22.6328373,59.22547937,219.2983627,8.420228958,18.07256602,46.5939045,16.15202618,55.40466309,15.04397392,39.09462504,76.67517662,68.11666489,122.0683245,296.630621,1.745303625,1.897346243,49.07299805,49.23828125,2.240480465,40.44652711,3.010917306,7.543560627,46.21446133,104.6232224,123.3167052,163.8106298,13.11659813,27.88751125,32.35757351,39.61481571
16,32,131.1879805,15.61118627,107.6066494,241.965113,744.751215,100,2.115726471,8.167104563,38.76709938,31.45432472,136.2960766,622.9202747,6.979942322,24.05624476,125.4937649,20.89483334,100.2213955,11.68012619,60.78539253,141.0446167,99.71427917,229.3048184,738.8801575,1.771656261,1.944566454,49.13793945,49.28515625,2.208379388,47.68944609,3.365792995,7.723128551,118.5996532,250.9143591,295.4975486,387.247653,14.74142075,40.90108871,51.38915777,65.46041489
32,1,22.01930283,93.00930262,36.99111938,45.2267311,93.64295006,100,1.749992371,2.574918442,6.167173386,12.83025742,18.49714713,59.90362167,6.325244904,9.539331775,14.69159126,10.79376182,23.17476273,7.925033569,11.61400054,17.82035828,34.1026783,42.22539789,90.04187584,2.060446487,2.507782682,49.1036377,49.4375,1.143652907,5.589362838,0.8752366094,2.095102429,18.69058609,20.79980373,21.6359973,24.27243471,10.94293594,12.5395298,13.17918301,14.93582487
32,2,41.95646361,48.81250286,34.67440605,47.458507,102.6427746,100,1.724720001,2.658736892,14.39571381,13.36956024,19.46772833,50.0998497,6.421327591,10.10464504,69.88573074,10.99371578,31.9776535,7.827281952,12.1084929,26.93891525,32.26923943,44.33960316,99.79081154,1.755916384,1.895984698,49.04675293,49.22265625,1.134825361,12.00960797,1.298804139,3.242200774,19.48976517,22.30772972,24.01870489,28.27213287,11.12818718,12.85779476,13.42481375,15.2238369
32,4,72.46113314,28.26342773,38.64073753,54.92864933,96.65060043,100,1.740932465,2.811036888,10.33377647,14.33873177,24.23832414,58.99620056,6.660699844,10.84923581,20.18857002,11.62736389,31.9776535,8.472919464,13.5327992,30.97558022,36.08632088,51.43139604,91.26925468,1.491250869,1.555896526,49.0645752,49.47265625,1.425252063,16.73727403,1.89235469,4.954586059,22.35281467,34.30743217,40.25071859,49.2191124,11.48986816,14.13831711,15.23344517,17.53582716
32,8,110.2854466,18.56999326,46.66376114,72.05320697,136.4016533,100,1.898765564,3.470121417,12.86029816,17.24529266,33.66727231,103.729248,7.706403732,12.89547724,75.00529289,13.09281433,31.9776535,10.06436348,17.72820798,32.38153458,43.2844162,67.76107894,133.1124306,1.10009868,1.396801298,48.96618652,49.296875,1.644781105,25.79953333,2.618831409,6.527808701,29.38175201,51.66397095,60.3358984,75.5825758,12.13932037,18.08583736,20.3415513,24.25730944
32,16,126.3870045,16.20419765,65.36531448,125.9531546,366.2695885,100,2.038002014,5.603523226,20.40266991,19.79827881,58.04399552,272.9084492,7.45511055,18.41139002,55.16695976,16.06537637,61.46717072,12.65120506,37.77488496,79.93650436,62.06727028,119.8337937,337.2347355,0.8480187738,1.235903515,48.85681152,49.0703125,1.938961798,42.29348671,3.121055898,7.733172228,45.76385021,101.1223793,123.1748223,158.0641699,13.09740543,27.65142918,31.80820942,38.43331575
32,32,138.4431447,14.79307628,86.16399765,228.5387806,643.1918144,100,1.970767975,7.726165932,30.66563606,25.57516098,128.3336827,528.7899971,7.724523544,23.31004571,89.04457092,20.24210627,78.32860947,14.98436928,57.24280828,127.1393299,76.47228241,216.6127026,619.4822788,1.010895432,1.143273939,48.83483887,49.08984375,2.292698651,45.73647098,3.295158534,7.823980017,111.2115383,236.6622686,284.5376134,382.5110531,14.65201378,39.0430212,46.65558338,58.3811307
